Date,Day,Season,Week,TotalMs,Clubs,Players,Transfers,Negotiations,Events,News,Fixtures,Inbox,Contracts,CareerHistory,fixturesMs,trainingMs,recoveryMs,injuriesMs,developmentMs,aiMs,scoutingMs,financesMs,eventsMs,newsMs
2026-11-19,111,2026/27,16,1012.88,1737,41521,35,40,62,2,108,57,18,1,27.27,28.93,28.01,27.74,0.01,264.67,0.03,0.02,104.74,0.00
2026-11-20,112,2026/27,16,972.55,1737,41521,35,41,20,2,108,57,18,1,26.87,25.73,28.35,28.16,0.01,253.43,0.03,21.94,41.65,0.00
2026-11-21,113,2026/27,17,1218.79,1737,41521,36,50,34,2,108,64,18,1,147.22,27.59,26.63,29.08,0.01,298.63,0.05,0.03,45.21,0.00
2026-11-22,114,2026/27,17,962.42,1737,41521,36,50,34,2,108,64,18,1,46.58,34.26,28.53,26.43,0.01,194.80,0.04,0.03,57.84,0.00
2026-11-23,115,2026/27,17,772.65,1737,41521,36,50,34,2,108,64,18,1,28.20,28.58,26.19,43.28,0.01,2.11,0.03,0.03,46.12,0.00
2026-11-24,116,2026/27,17,713.18,1737,41521,36,50,34,2,108,64,18,1,27.33,26.36,37.43,31.56,0.01,1.12,0.06,0.03,37.82,0.00
2026-11-25,117,2026/27,17,1006.10,1737,41521,36,51,44,2,108,64,18,1,26.84,26.68,29.18,32.52,0.01,287.96,0.05,0.02,55.94,0.00
2026-11-26,118,2026/27,17,994.76,1737,41521,36,68,49,2,108,64,18,1,27.43,28.99,28.73,26.95,0.01,266.71,0.03,0.02,64.61,0.00
2026-11-27,119,2026/27,17,1005.52,1737,41521,36,68,20,2,108,64,18,1,29.51,27.35,27.57,28.97,0.01,315.12,0.04,21.78,40.17,0.00
2026-11-28,120,2026/27,18,3276.29,1737,41521,36,77,4166,226,108,98,18,1,140.12,41.84,25.75,26.59,2127.29,279.30,0.05,0.04,67.69,0.00
2026-11-29,121,2026/27,18,952.00,1737,41521,36,83,4172,226,108,98,18,1,27.71,35.25,27.90,29.30,0.01,248.38,0.02,0.02,41.40,0.00
2026-11-30,122,2026/27,18,824.32,1737,41521,36,83,4172,226,108,98,18,1,24.92,27.15,32.19,30.00,0.01,126.84,0.03,0.06,39.58,0.00
2026-12-01,123,2026/27,18,735.11,1737,41521,36,83,4172,226,108,98,18,1,27.51,25.07,28.42,30.38,0.01,4.17,0.03,0.02,55.75,0.00
2026-12-02,124,2026/27,18,953.05,1737,41521,36,84,4175,226,108,99,18,1,27.14,29.22,26.17,33.02,0.01,249.27,0.03,0.05,42.80,0.00
2026-12-03,125,2026/27,18,972.88,1737,41521,36,96,4189,226,108,111,18,1,36.71,28.40,26.18,26.10,0.01,246.40,0.04,0.04,70.17,0.00
2026-12-04,126,2026/27,18,1019.07,1737,41521,36,96,20,226,108,129,18,1,27.86,41.90,26.63,28.98,0.01,255.66,0.03,29.25,72.51,0.00
2026-12-05,127,2026/27,19,1076.35,1737,41521,36,104,33,226,108,132,18,1,140.99,26.35,26.42,28.96,0.01,277.42,0.03,0.03,33.69,0.00
2026-12-06,128,2026/27,19,964.32,1737,41521,37,104,36,226,108,132,18,1,27.38,30.45,30.35,28.07,0.01,272.74,0.04,0.02,34.80,0.00
2026-12-07,129,2026/27,19,735.75,1737,41521,37,104,51,226,108,132,18,1,28.03,31.70,28.14,36.55,0.01,0.98,0.03,0.02,56.46,0.00
2026-12-08,130,2026/27,19,930.46,1737,41521,37,116,64,226,108,133,18,1,26.50,26.04,27.49,28.63,0.01,262.90,0.03,0.02,35.21,0.00
2026-12-09,131,2026/27,19,960.31,1737,41521,37,117,68,226,108,134,18,1,28.09,27.62,29.36,30.97,0.02,256.49,0.04,0.12,42.68,0.00
2026-12-10,132,2026/27,19,980.06,1737,41521,37,129,96,226,108,159,18,1,28.19,26.27,25.95,29.27,0.01,229.67,0.02,0.02,98.34,0.00
2026-12-11,133,2026/27,19,974.71,1737,41521,37,130,20,226,108,159,18,1,32.52,26.97,26.66,26.84,0.01,255.35,0.02,23.62,34.62,0.00
