Date,Day,Season,Week,TotalMs,Clubs,Players,Transfers,Negotiations,Events,News,Fixtures,Inbox,Contracts,CareerHistory,fixturesMs,trainingMs,recoveryMs,injuriesMs,developmentMs,aiMs,scoutingMs,financesMs,eventsMs,newsMs
2031-08-02,2,2031/32,1,95137.13,1737,44979,3492,1707,7104,2,35756,7101,18,1,45.40,46.44,36.47,32.21,0.02,633.87,0.04,0.91,93245.57,0.00
2031-08-03,3,2031/32,1,3110.17,1737,44979,3492,1719,7116,2,35756,7113,18,1,82.38,59.87,77.92,62.54,0.01,1114.73,0.04,0.03,381.31,0.00
2031-08-04,4,2031/32,1,31134.83,1737,44979,3498,2003,7941,2,35756,7938,18,1,84.18,54.07,69.48,69.94,0.01,963.76,0.04,0.03,28686.95,0.00
2031-08-05,5,2031/32,1,3038.19,1737,44979,3498,2012,7951,2,35756,7947,18,1,82.59,77.40,92.82,88.84,0.01,1002.24,0.05,0.04,257.66,0.00
2031-08-06,6,2031/32,1,31459.52,1737,44979,3500,2289,8788,2,35756,8784,18,1,106.52,123.15,85.85,83.51,0.01,953.68,0.03,0.03,28584.54,0.00
2031-08-07,7,2031/32,1,2486.12,1737,44979,3500,2292,20,2,35756,8787,18,1,79.86,67.56,57.90,67.32,0.01,876.76,0.04,55.88,116.74,0.00
2031-08-08,8,2031/32,2,20283.78,1737,44979,3500,2576,868,2,35756,9635,18,1,77.36,69.75,67.08,79.96,0.01,952.63,0.03,0.03,17876.51,0.00
2031-08-09,9,2031/32,2,1618.64,1737,44979,3500,2600,916,2,35756,9682,18,1,33.29,36.58,33.40,37.73,0.01,471.68,0.03,0.02,359.43,0.00
2031-08-10,10,2031/32,2,21599.48,1737,44979,3500,2879,1751,2,35756,10514,18,1,40.33,34.74,30.55,39.79,0.01,401.87,0.03,0.02,20354.97,0.00
2031-08-11,11,2031/32,2,1339.41,1737,44979,3500,2885,1757,2,35756,10520,18,1,35.03,37.12,36.80,32.62,0.01,424.12,0.03,0.02,103.49,0.00
2031-08-12,12,2031/32,2,18929.99,1737,44979,3501,3166,2629,2,35756,11392,18,1,36.43,35.08,40.39,38.80,0.01,448.16,0.02,0.02,17654.21,0.00
2031-08-13,13,2031/32,2,1465.65,1737,44979,3501,3178,2641,2,35756,11395,18,1,38.78,41.94,36.17,41.36,0.01,466.07,0.03,0.02,130.63,0.00
2031-08-14,14,2031/32,2,21935.16,1737,44979,3501,3451,20,2,35756,12224,18,1,35.78,49.96,50.23,38.01,0.01,476.28,0.03,28.27,20460.05,0.00
2031-08-15,15,2031/32,3,1469.88,1737,44979,3501,3463,47,2,35756,12224,18,1,48.93,48.41,47.42,55.24,0.01,440.58,0.03,0.03,96.72,0.00
2031-08-16,16,2031/32,3,114812.42,1737,44979,3503,3762,1781,34,35756,13114,18,1,76702.97,94.17,80.06,76.10,0.01,1007.44,0.05,0.03,35599.29,0.00
2031-08-17,17,2031/32,3,2312.77,1737,44979,3503,3765,1784,34,35756,13114,18,1,60.51,69.40,85.70,74.10,0.02,852.48,0.02,0.03,101.01,0.00
2031-08-18,18,2031/32,3,28903.16,1737,44979,3503,4045,2653,34,35756,13139,18,1,49.01,47.30,46.02,51.61,0.01,585.04,0.03,0.03,27121.17,0.00
2031-08-19,19,2031/32,3,1921.48,1737,44979,3503,4051,2660,34,35756,13139,18,1,66.37,83.97,74.48,57.25,0.01,587.46,0.03,0.02,95.64,0.00
2031-08-20,20,2031/32,3,28296.06,1737,44979,3503,4332,3450,34,35756,13153,18,1,50.14,57.70,50.26,66.70,0.01,982.44,0.04,0.03,25960.83,0.00
2031-08-21,21,2031/32,3,1823.29,1737,44979,3503,4341,20,35,35756,13153,18,1,70.21,48.68,56.67,50.52,0.01,548.36,0.03,36.13,136.89,0.00
2031-08-22,22,2031/32,4,25225.44,1737,44979,3504,4624,856,35,35756,13168,18,1,42.53,36.36,52.88,56.27,0.01,535.08,0.03,0.02,23507.78,0.00
2031-08-23,23,2031/32,4,86874.61,1737,44979,3504,4643,1742,281,35756,14032,18,1,73142.31,64.27,69.41,72.34,0.01,880.12,0.03,0.02,11444.33,0.00
2031-08-24,24,2031/32,4,27883.67,1737,44979,3504,4917,2618,281,35756,14040,18,1,62.28,78.27,66.13,83.55,0.02,827.96,0.04,0.03,25731.06,0.00
2031-08-25,25,2031/32,4,2159.14,1737,44979,3504,4919,2624,281,35756,14040,18,1,64.75,53.86,44.53,53.08,0.01,819.64,0.04,0.03,100.36,0.00
2031-08-26,26,2031/32,4,26458.70,1737,44979,3506,5360,3434,282,35756,14050,18,1,273.47,47.32,54.20,50.80,0.01,734.56,0.03,0.03,24137.94,0.00
2031-08-27,27,2031/32,4,2289.56,1737,44979,3506,5366,3436,284,35756,14050,18,1,68.04,70.99,80.44,68.51,0.01,743.79,0.03,0.02,155.23,0.00
2031-08-28,28,2031/32,4,35843.36,1737,44979,3507,5812,20,285,35756,14898,18,1,53.98,49.97,51.03,48.75,0.01,546.65,0.03,49.05,34084.80,0.00
2031-08-29,29,2031/32,5,2516.76,1737,44979,3507,5824,33,285,35756,14898,18,1,86.50,79.56,60.14,76.96,0.01,822.20,0.03,0.03,122.89,0.00
2031-08-30,30,2031/32,5,199253.62,1737,44979,3507,6297,7048,835,35756,17268,18,1,72392.57,51.26,93.40,128.13,40204.59,1305.48,0.04,0.04,83598.71,0.00
2031-08-31,31,2031/32,5,19623.72,1737,44979,3507,6306,7217,907,35756,17428,18,1,14530.30,65.75,73.32,73.61,0.02,764.94,0.04,0.02,2828.64,0.00
